# filename                                	chi2	rotation
# Best matches (according to MCMC):
AGNT8/HH3S1A90B0G0initgrid.kappa.fits   	  4.1071	  3.26
AGNT8/HH154S0A90B0G0initgrid.kappa.fits 	  4.1128	 10.28
FBconst/HH13S1A0B90G0initgrid.kappa.fits	  4.1313	357.94
FBconst/HH121S0A0B0G90initgrid.kappa.fits	  4.1738	308.87
FBconst/HH134S0A90B0G0initgrid.kappa.fits	  4.2387	355.70
AGNT8/HH69S0A0B90G0initgrid.kappa.fits  	  4.2647	357.25
AGNT8/HH236S0A0B90G0initgrid.kappa.fits 	  4.3044	  0.74
FBconst/HH141S0A90B0G0initgrid.kappa.fits	  4.3153	321.20
AGNT8/HH46S0A0B0G90initgrid.kappa.fits  	  4.3724	359.00
FBconst/HH13S1A0B0G90initgrid.kappa.fits	  4.4214	321.19
FBconst/HH246S0A90B0G0initgrid.kappa.fits	  4.4309	328.71
FBconst/HH246S0A0B90G0initgrid.kappa.fits	  4.4492	323.49
AGNT8/HH39S2A90B0G0initgrid.kappa.fits  	  4.4689	357.41
FBconst/HH1S3A0B0G90initgrid.kappa.fits 	  4.4739	317.24
FBconst/HH79S0A0B0G90initgrid.kappa.fits	  4.4877	346.26
AGNT8/HH90S0A0B90G0initgrid.kappa.fits  	  4.4984	322.94
FBconst/HH1S1A90B0G0initgrid.kappa.fits 	  4.5175	 53.97
FBconst/HH118S0A0B0G90initgrid.kappa.fits	  4.5202	 39.43
AGNT8/HH81S0A0B0G90initgrid.kappa.fits  	  4.5483	358.89
AGNT8/HH33S0A0B90G0initgrid.kappa.fits  	  4.5646	336.86
FBconst/HH12S0A0B90G0initgrid.kappa.fits	  4.5678	316.80
FBconst/HH139S0A0B0G90initgrid.kappa.fits	  4.5718	 21.21
FBconst/HH1S1A0B90G0initgrid.kappa.fits 	  4.5913	358.81
AGNT8/HH73S0A0B0G90initgrid.kappa.fits  	  4.5946	321.15
FBconst/HH1S9A0B90G0initgrid.kappa.fits 	  4.5957	313.30
FBconst/HH157S0A0B0G90initgrid.kappa.fits	  4.6043	350.49
FBconst/HH1S0A90B0G0initgrid.kappa.fits 	  4.6118	321.16
AGNT8/HH12S0A90B0G0initgrid.kappa.fits  	  4.6142	319.31
AGNT8/HH102S0A0B0G90initgrid.kappa.fits 	  4.6165	359.01
FBconst/HH31S0A0B0G90initgrid.kappa.fits	  4.6169	323.06
FBconst/HH203S0A0B0G90initgrid.kappa.fits	  4.6171	325.64
FBconst/HH152S0A0B0G90initgrid.kappa.fits	  4.6180	358.97
FBconst/HH13S0A0B0G90initgrid.kappa.fits	  4.6194	325.65
AGNT8/HH142S0A0B0G90initgrid.kappa.fits 	  4.6196	 47.17
AGNT8/HH144S0A0B0G90initgrid.kappa.fits 	  4.6258	325.90
AGNT8/HH1S1A90B0G0initgrid.kappa.fits   	  4.6347	322.91
AGNT8/HH15S0A0B0G90initgrid.kappa.fits  	  4.6402	315.69
FBconst/HH121S0A0B90G0initgrid.kappa.fits	  4.6474	335.71
AGNT8/HH139S0A0B90G0initgrid.kappa.fits 	  4.6533	358.86
FBconst/HH217S0A90B0G0initgrid.kappa.fits	  4.6586	321.15
AGNT8/HH66S0A0B0G90initgrid.kappa.fits  	  4.6625	325.80
FBconst/HH10S1A90B0G0initgrid.kappa.fits	  4.6823	  0.84
FBconst/HH351S0A0B90G0initgrid.kappa.fits	  4.6867	321.20
