# filename                                	chi2	rotation
# Best matches (according to MCMC):
AGNT8/HH17S1A90B0G0initgrid.kappa.fits  	  4.2897	152.76
FBconst/HH213S0A0B90G0initgrid.kappa.fits	  4.3872	359.05
FBconst/HH260S0A90B0G0initgrid.kappa.fits	  4.4178	127.28
AGNT8/HH204S0A90B0G0initgrid.kappa.fits 	  4.5143	  1.15
FBconst/HH36S1A0B0G90initgrid.kappa.fits	  4.6212	158.47
FBconst/HH59S0A0B0G90initgrid.kappa.fits	  4.6734	123.62
FBconst/HH16S1A0B90G0initgrid.kappa.fits	  4.7044	161.05
AGNT8/HH324S0A90B0G0initgrid.kappa.fits 	  4.7318	127.71
AGNT8/HH1S15A0B0G90initgrid.kappa.fits  	  4.8082	 98.50
FBconst/HH260S0A0B90G0initgrid.kappa.fits	  4.8199	173.54
AGNT8/HH118S0A90B0G0initgrid.kappa.fits 	  4.8707	152.51
AGNT8/HH61S0A0B0G90initgrid.kappa.fits  	  5.0482	263.74
AGNT8/HH29S0A0B90G0initgrid.kappa.fits  	  5.1014	127.17
FBconst/HH2S2A90B0G0initgrid.kappa.fits 	  5.1360	105.75
FBconst/HH14S0A0B0G90initgrid.kappa.fits	  5.1950	149.39
FBconst/HH218S0A0B90G0initgrid.kappa.fits	  5.2288	102.84
AGNT8/HH905S0A0B90G0initgrid.kappa.fits 	  5.2544	106.33
AGNT8/HH136S0A90B0G0initgrid.kappa.fits 	  5.3036	151.60
FBconst/HH25S0A0B0G90initgrid.kappa.fits	  5.3322	157.45
FBconst/HH36S1A0B90G0initgrid.kappa.fits	  5.3700	298.55
AGNT8/HH7S2A0B90G0initgrid.kappa.fits   	  5.3811	196.65
FBconst/HH25S0A0B90G0initgrid.kappa.fits	  5.4097	332.41
AGNT8/HH324S0A0B90G0initgrid.kappa.fits 	  5.4381	182.57
AGNT8/HH19S0A90B0G0initgrid.kappa.fits  	  5.5960	134.01
AGNT8/HH324S0A0B0G90initgrid.kappa.fits 	  5.6015	127.56
FBconst/HH18S3A0B0G90initgrid.kappa.fits	  5.6037	352.93
FBconst/HH3S4A0B0G90initgrid.kappa.fits 	  5.6078	359.38
FBconst/HH23S0A90B0G0initgrid.kappa.fits	  5.6617	196.88
FBconst/HH18S3A0B90G0initgrid.kappa.fits	  5.7107	 77.32
AGNT8/HH182S0A0B0G90initgrid.kappa.fits 	  5.7937	145.32
AGNT8/HH1S15A0B90G0initgrid.kappa.fits  	  5.8304	224.41
AGNT8/HH211S0A90B0G0initgrid.kappa.fits 	  5.8760	217.30
AGNT8/HH211S0A0B90G0initgrid.kappa.fits 	  6.0022	177.40
FBconst/HH36S1A90B0G0initgrid.kappa.fits	  6.0239	123.28
AGNT8/HH29S0A90B0G0initgrid.kappa.fits  	  6.1565	108.29
AGNT8/HH24S0A0B0G90initgrid.kappa.fits  	  6.2658	 45.02
FBconst/HH26S1A90B0G0initgrid.kappa.fits	  6.2743	127.15
AGNT8/HH118S0A0B90G0initgrid.kappa.fits 	  6.3079	157.61
FBconst/HH26S1A0B0G90initgrid.kappa.fits	  6.5213	130.50
AGNT8/HH2S0A0B0G90initgrid.kappa.fits   	  6.5820	153.09
FBconst/HH136S0A0B90G0initgrid.kappa.fits	  6.5869	177.34
FBconst/HH16S1A0B0G90initgrid.kappa.fits	  6.7924	144.50
