# filename                                	chi2	rotation
# Best matches (according to MCMC):
FBconst/HH21S1A90B0G0initgrid.kappa.fits	  3.9650	267.10
FBconst/HH1S12A90B0G0initgrid.kappa.fits	  4.0970	202.64
AGNT8/HH136S0A0B90G0initgrid.kappa.fits 	  4.1299	226.64
AGNT8/HH50S0A0B0G90initgrid.kappa.fits  	  4.1698	202.02
AGNT8/HH60S0A0B90G0initgrid.kappa.fits  	  4.3529	176.20
AGNT8/HH61S0A0B0G90initgrid.kappa.fits  	  4.4757	202.36
AGNT8/HH1S0A0B0G90initgrid.kappa.fits   	  4.5982	182.66
AGNT8/HH4S6A90B0G0initgrid.kappa.fits   	  4.5988	267.18
FBconst/HH23S0A0B0G90initgrid.kappa.fits	  4.6353	179.55
AGNT8/HH4S6A0B90G0initgrid.kappa.fits   	  4.6419	224.86
AGNT8/HH259S0A0B0G90initgrid.kappa.fits 	  4.6557	179.52
FBconst/HH40S0A90B0G0initgrid.kappa.fits	  4.6989	227.37
FBconst/HH1S7A90B0G0initgrid.kappa.fits 	  4.8693	202.61
FBconst/HH260S0A0B0G90initgrid.kappa.fits	  4.8836	202.20
FBconst/HH47S0A0B90G0initgrid.kappa.fits	  4.9265	179.53
FBconst/HH245S0A0B90G0initgrid.kappa.fits	  5.0533	179.38
AGNT8/HH7S2A90B0G0initgrid.kappa.fits   	  5.0802	182.85
AGNT8/HH7S4A0B0G90initgrid.kappa.fits   	  5.1018	270.64
FBconst/HH40S0A0B0G90initgrid.kappa.fits	  5.1780	182.78
AGNT8/HH17S1A90B0G0initgrid.kappa.fits  	  5.2703	267.96
FBconst/HH19S0A90B0G0initgrid.kappa.fits	  5.2890	179.50
FBconst/HH47S0A0B0G90initgrid.kappa.fits	  5.3009	208.69
FBconst/HH1S7A0B0G90initgrid.kappa.fits 	  5.3590	270.13
AGNT8/HH905S0A0B0G90initgrid.kappa.fits 	  5.4261	131.89
FBconst/HH23S0A0B90G0initgrid.kappa.fits	  5.4307	223.56
FBconst/HH30S1A90B0G0initgrid.kappa.fits	  5.4372	209.06
AGNT8/HH1S15A0B0G90initgrid.kappa.fits  	  5.4500	227.16
AGNT8/HH1S0A0B90G0initgrid.kappa.fits   	  5.5356	208.67
AGNT8/HH29S0A90B0G0initgrid.kappa.fits  	  6.0027	208.79
AGNT8/HH10S1A0B0G90initgrid.kappa.fits  	  6.0073	202.48
FBconst/HH47S0A90B0G0initgrid.kappa.fits	  6.0478	272.74
AGNT8/HH211S0A90B0G0initgrid.kappa.fits 	  6.2027	255.76
AGNT8/HH8S4A90B0G0initgrid.kappa.fits   	  6.2849	141.57
AGNT8/HH29S0A0B90G0initgrid.kappa.fits  	  6.3946	266.78
FBconst/HH260S0A0B90G0initgrid.kappa.fits	  6.6445	132.05
FBconst/HH3S4A0B90G0initgrid.kappa.fits 	  6.7440	254.71
AGNT8/HH905S0A0B90G0initgrid.kappa.fits 	  6.8737	266.87
FBconst/HH2S2A0B90G0initgrid.kappa.fits 	  6.9321	180.42
